lon,lat,mmh,thunderstorm,hail
43.65030,47.64530,0.000,0,0
43.69029,47.64530,0.000,0,0
43.73028,47.64530,0.000,0,0
43.77027,47.64530,0.000,0,0
43.81026,47.64530,0.000,0,0
43.85026,47.64530,0.000,0,0
43.89025,47.64530,0.000,0,0
43.93024,47.64530,0.000,0,0
43.97023,47.64530,0.000,0,0
44.01022,47.64530,0.000,0,0
44.05021,47.64530,0.000,0,0
44.09020,47.64530,0.000,0,0
44.13019,47.64530,0.000,0,0
44.17018,47.64530,0.000,0,0
44.21018,47.64530,0.000,0,0
44.25017,47.64530,0.000,0,0
44.29016,47.64530,0.000,0,0
44.33015,47.64530,0.000,0,0
44.37014,47.64530,0.000,0,0
44.41013,47.64530,0.000,0,0
44.45012,47.64530,0.000,0,0
44.49011,47.64530,0.000,0,0
44.53010,47.64530,0.000,0,0
44.57010,47.64530,0.000,0,0
44.61009,47.64530,0.000,0,0
44.65008,47.64530,0.000,0,0
44.69007,47.64530,0.000,0,0
44.73006,47.64530,0.000,0,0
44.77005,47.64530,0.000,0,0
44.81004,47.64530,0.000,0,0
44.85003,47.64530,0.000,0,0
44.89002,47.64530,0.000,0,0
44.93002,47.64530,0.000,0,0
44.97001,47.64530,0.000,0,0
45.01000,47.64530,0.000,0,0
45.04999,47.64530,0.000,0,0
45.08998,47.64530,0.000,0,0
45.12997,47.64530,0.000,0,0
45.16996,47.64530,0.000,0,0
45.20995,47.64530,0.000,0,0
45.24994,47.64530,0.000,0,0
45.28994,47.64530,0.000,0,0
45.32993,47.64530,0.000,0,0
45.36992,47.64530,0.000,0,0
45.40991,47.64530,0.000,0,0
45.44990,47.64530,0.000,0,0
45.48989,47.64530,0.000,0,0
45.52988,47.64530,0.000,0,0
45.56987,47.64530,0.000,0,0
45.60986,47.64530,0.000,0,0
45.64986,47.64530,0.000,0,0
45.68985,47.64530,0.000,0,0
45.72984,47.64530,0.000,0,0
45.76983,47.64530,0.000,0,0
45.80982,47.64530,0.000,0,0
45.84981,47.64530,0.000,0,0
45.88980,47.64530,0.000,0,0
45.92979,47.64530,0.000,0,0
45.96978,47.64530,0.000,0,0
46.00978,47.64530,0.000,0,0
46.04977,47.64530,0.000,0,0
46.08976,47.64530,0.000,0,0
46.12975,47.64530,0.000,0,0
46.16974,47.64530,0.000,0,0
46.20973,47.64530,0.000,0,0
46.24972,47.64530,0.000,0,0
46.28971,47.64530,0.000,0,0
46.32970,47.64530,0.000,0,0
46.36970,47.64530,0.000,0,0
46.40969,47.64530,0.000,0,0
46.44968,47.64530,0.000,0,0
46.48967,47.64530,0.000,0,0
46.52966,47.64530,0.000,0,0
46.56965,47.64530,0.000,0,0
46.60964,47.64530,0.000,0,0
46.64963,47.64530,0.000,0,0
46.68962,47.64530,0.000,0,0
46.72962,47.64530,0.000,0,0
46.76961,47.64530,0.000,0,0
46.80960,47.64530,0.000,0,0
46.84959,47.64530,0.000,0,0
46.88958,47.64530,0.000,0,0
46.92957,47.64530,0.000,0,0
46.96956,47.64530,0.000,0,0
47.00955,47.64530,0.000,0,0
47.04954,47.64530,0.000,0,0
47.08954,47.64530,0.000,0,0
47.12953,47.64530,0.000,0,0
47.16952,47.64530,0.000,0,0
47.20951,47.64530,0.000,0,0
47.24950,47.64530,0.000,0,0
47.28949,47.64530,0.000,0,0
47.32948,47.64530,0.000,0,0
47.36947,47.64530,0.000,0,0
47.40946,47.64530,0.000,0,0
47.44946,47.64530,0.000,0,0
47.48945,47.64530,0.000,0,0
47.52944,47.64530,0.000,0,0
47.56943,47.64530,0.000,0,0
47.60942,47.64530,0.000,0,0
47.64941,47.64530,0.000,0,0
47.68940,47.64530,0.000,0,0
47.72939,47.64530,0.000,0,0
47.76938,47.64530,0.000,0,0
47.80938,47.64530,0.000,0,0
